$Boundary
False
596
6.788,-1.615,4.73494
5.74,-1.592,4.73494
4.692,-1.568,4.73494
3.644,-1.544,4.73494
2.596,-1.521,4.73494
1.547,-1.497,4.73494
0.499,-1.474,4.73494
-0.549,-1.45,4.708
-1.605,-1.483,4.6835
-2.728,-1.513,4.6861
-4.003,-1.546,4.68596
-5.264,-1.58,4.68446
-6.381,-1.612,4.68141
-7.643,-1.654,4.67475
-9.032,-1.712,4.66584
-10.031,-1.765,4.65434
-11.078,-1.831,4.64272
-12.135,-1.912,4.62851
-13.18,-2.008,4.61273
-14.226,-2.121,4.59495
-15.274,-2.255,4.57412
-16.315,-2.411,4.55206
-17.351,-2.591,4.5312
-18.387,-2.791,4.51252
-19.417,-3.009,4.49659
-20.443,-3.242,4.48339
-21.468,-3.487,4.47274
-22.49,-3.742,4.46509
-23.51,-4.003,4.46248
-24.53,-4.263,4.46425
-25.552,-4.52,4.465
-26.572,-4.778,4.46187
-27.592,-5.042,4.45446
-28.61,-5.316,4.44331
-29.622,-5.602,4.42857
-30.63,-5.905,4.41206
-31.634,-6.225,4.39555
-32.631,-6.561,4.38013
-33.624,-6.912,4.36705
-34.613,-7.274,4.35528
-35.596,-7.648,4.34362
-36.576,-8.033,4.33214
-37.552,-8.429,4.321
-38.522,-8.836,4.31061
-39.488,-9.252,4.30075
-40.451,-9.678,4.29204
-41.41,-10.111,4.28512
-42.366,-10.55,4.27927
-43.321,-10.995,4.27376
-44.271,-11.444,4.26691
-45.219,-11.901,4.25905
-46.164,-12.366,4.25039
-47.103,-12.839,4.24081
-48.037,-13.321,4.23138
-48.969,-13.813,4.22138
-49.893,-14.314,4.21135
-50.813,-14.823,4.20155
-51.729,-15.342,4.19061
-52.637,-15.871,4.1792
-53.539,-16.411,4.16734
-54.436,-16.962,4.15496
-55.324,-17.524,4.14228
-56.205,-18.097,4.12893
-57.079,-18.682,4.11612
-57.945,-19.277,4.10464
-58.805,-19.882,4.09349
-59.658,-20.497,4.08178
-60.502,-21.122,4.06919
-61.339,-21.757,4.05628
-62.168,-22.404,4.04302
-62.987,-23.062,4.03089
-63.8,-23.728,4.02032
-64.606,-24.403,4.01067
-65.405,-25.084,4.00147
-66.197,-25.773,3.99288
-66.985,-26.469,3.98483
-67.766,-27.171,3.97658
-68.542,-27.879,3.96749
-69.311,-28.595,3.95807
-70.073,-29.317,3.94928
-70.828,-30.046,3.94059
-71.578,-30.782,3.93216
-72.321,-31.523,3.92427
-73.058,-32.27,3.91684
-73.791,-33.024,3.90916
-74.516,-33.781,3.90121
-75.236,-34.545,3.89241
-75.949,-35.317,3.88281
-76.654,-36.094,3.87293
-77.351,-36.879,3.86243
-78.039,-37.671,3.85094
-78.718,-38.471,3.83885
-79.387,-39.28,3.82659
-80.046,-40.097,3.81422
-80.694,-40.921,3.80175
-81.332,-41.754,3.78933
-81.96,-42.595,3.77675
-82.577,-43.442,3.76406
-83.183,-44.298,3.75112
-83.778,-45.163,3.73786
-84.361,-46.034,3.72445
-84.932,-46.913,3.71067
-85.491,-47.801,3.69631
-86.036,-48.695,3.68161
-86.568,-49.598,3.66697
-87.088,-50.509,3.65274
-87.594,-51.426,3.63969
-88.089,-52.35,3.62837
-88.575,-53.279,3.61842
-89.051,-54.212,3.6096
-89.52,-55.149,3.60196
-89.982,-56.09,3.59525
-90.438,-57.033,3.58858
-90.888,-57.979,3.58096
-91.33,-58.93,3.57258
-91.763,-59.883,3.56403
-92.188,-60.84,3.5563
-92.607,-61.801,3.54914
-93.019,-62.764,3.54174
-93.423,-63.73,3.53432
-93.821,-64.7,3.52676
-94.21,-65.672,3.51869
-94.592,-66.647,3.5097
-94.964,-67.626,3.5002
-95.327,-68.608,3.49073
-95.681,-69.594,3.48095
-96.025,-70.584,3.47118
-96.359,-71.576,3.46142
-96.683,-72.571,3.45085
-96.996,-73.571,3.43959
-97.298,-74.573,3.42786
-97.587,-75.579,3.41598
-97.865,-76.589,3.404
-98.13,-77.601,3.39187
-98.384,-78.617,3.37997
-98.625,-79.636,3.36847
-98.854,-80.657,3.35688
-99.072,-81.681,3.34482
-99.277,-82.708,3.33263
-99.469,-83.736,3.31976
-99.648,-84.767,3.30636
-99.813,-85.802,3.29239
-99.962,-86.837,3.2784
-100.098,-87.875,3.26464
-100.219,-88.915,3.25048
-100.326,-89.955,3.23689
-100.418,-90.997,3.22443
-100.499,-92.042,3.21346
-100.569,-93.085,3.20295
-100.627,-94.13,3.1916
-100.673,-95.176,3.18048
-100.709,-96.221,3.17062
-100.734,-97.267,3.1619
-100.751,-98.314,3.1542
-100.761,-99.36,3.14716
-100.763,-100.406,3.14038
-100.758,-101.454,3.13388
-100.747,-102.499,3.12745
-100.728,-103.546,3.12112
